LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,TS,WS50M,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOT,QV2M,T2MDEW,WS50M_MAX,WS50M_MIN
20.24321,85.84161,2016,6,10,6.33,31.08,7.23,30.76,27.62,35.64,75.44,1.86,21.16,25.86,9.92,5.28
20.24321,85.84161,2016,6,11,6.35,31.23,7.34,30.92,28.49,34.77,73.78,0.5,20.87,25.63,9.23,5.5
20.24321,85.84161,2016,6,12,5.93,31.57,5.42,31.21,28.29,34.73,76.08,0.76,21.9,26.45,7.47,3.84
20.24321,85.84161,2016,6,13,5.45,29.65,4.53,29.36,28.08,30.65,81.94,4.98,21.2,25.92,6.33,2.34
20.24321,85.84161,2016,6,14,4.3,30.74,6.24,30.57,28.03,34.88,73.93,0.43,20.52,25.34,8.2,3.53
20.24321,85.84161,2016,6,15,1.17,29.2,4.89,29.34,27.92,31.78,82.4,24.72,21.34,26.02,7.01,3.7
20.24321,85.84161,2016,6,16,1.61,28.36,2.65,28.3,27.35,29.32,86.86,5.08,21.18,25.91,4.98,0.76
20.24321,85.84161,2016,6,17,3.54,29.75,2.45,28.89,26.63,32.07,80.76,10.69,20.36,25.26,4.68,0.04
20.24321,85.84161,2016,6,18,3.34,29.3,3.85,28.63,26.8,31.28,82.75,6.84,20.51,25.41,6.15,0.98
20.24321,85.84161,2016,6,19,4.37,29.41,5.95,28.83,26.98,31.5,81.81,9.56,20.48,25.42,7.08,4.86
20.24321,85.84161,2016,6,20,4.53,29.4,4.84,28.78,26.83,31.56,82.24,5.59,20.51,25.46,5.75,3.62
20.24321,85.84161,2016,6,21,5.68,29.71,5.45,28.92,26.31,32.58,78.47,0.5,19.72,24.8,6.55,4.68
20.24321,85.84161,2016,6,22,5.99,30.22,4.99,29.34,26.62,32.44,77.62,0.63,19.98,25.02,6.04,3.99
20.24321,85.84161,2016,6,23,5.89,30.34,4.83,29.55,26.79,33.15,76.97,1.19,20.07,25.08,6.44,3.74
20.24321,85.84161,2016,6,24,6.16,29.76,3.59,29.15,27.11,31.84,80.33,2.27,20.51,25.42,6.65,0.3
20.24321,85.84161,2016,6,25,6,31.36,3.25,30.02,26.77,34.33,73,0.51,19.57,24.63,5.18,1.07
20.24321,85.84161,2016,6,26,2.68,29.88,3.1,29.14,26.58,31.92,80.98,24.47,20.66,25.53,5.08,0.89
20.24321,85.84161,2016,6,27,2.8,28.87,4.76,28.51,26.6,30.98,85.21,20.48,21.02,25.79,8.12,0.58
20.24321,85.84161,2016,6,28,4.08,29.02,5.25,28.51,26.56,31.37,85.04,9.29,20.98,25.75,8.63,2.51
20.24321,85.84161,2016,6,29,5.14,29.48,5.99,28.83,26.5,31.83,84.31,9.47,21.17,25.93,8.51,3.69
20.24321,85.84161,2016,6,30,4.23,29.98,5,29.36,27.05,32.29,82.43,3.78,21.37,26.07,6.24,2.93
20.24321,85.84161,2016,7,1,2.64,29.51,2.61,28.99,26.86,31.95,85.2,3.06,21.67,26.26,4.9,0.35
20.24321,85.84161,2016,7,2,1.35,29.16,3.74,28.84,27.05,31.14,85.94,16.88,21.66,26.26,6.27,0.87
20.24321,85.84161,2016,7,3,1.5,28.99,7.35,28.97,27.37,31.6,84.68,16.17,21.46,26.13,8.59,6.1
20.24321,85.84161,2016,7,4,2.13,28.32,9.65,28.41,27.05,30.15,88.12,9.01,21.61,26.27,12.72,7.95
20.24321,85.84161,2016,7,5,1.07,28.36,8.66,28.41,26.9,31.12,87.26,6.55,21.42,26.1,9.99,7.56
20.24321,85.84161,2016,7,6,4.04,28.89,7.29,28.97,27.11,31.42,84.93,1.99,21.55,26.18,8.92,6.01
20.24321,85.84161,2016,7,7,3.38,29.16,6.18,29.01,27.17,31.98,84.59,5.81,21.52,26.15,8.21,4.8
20.24321,85.84161,2016,7,8,1.59,28.27,7.62,28.18,26.65,30.6,86.98,25.57,21.11,25.82,9.11,5.55
20.24321,85.84161,2016,7,9,3.35,27.44,9.82,27.32,25.84,29.74,83.47,3.04,19.26,24.29,11.69,6.95
20.24321,85.84161,2016,7,10,2.54,28.57,8.64,27.95,25.05,31.4,81.06,3.25,19.43,24.39,11.04,6.64
