LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
20.24321,85.84161,2012,5,24,7.29
20.24321,85.84161,2012,5,25,7.29
20.24321,85.84161,2012,5,26,7.47
20.24321,85.84161,2012,5,27,7.08
20.24321,85.84161,2012,5,28,7.3
20.24321,85.84161,2012,5,29,4.51
20.24321,85.84161,2012,5,30,7.02
20.24321,85.84161,2012,5,31,7.11
20.24321,85.84161,2012,6,1,5.44
20.24321,85.84161,2012,6,2,7.29
20.24321,85.84161,2012,6,3,5.39
20.24321,85.84161,2012,6,4,7.41
20.24321,85.84161,2012,6,5,7.29
20.24321,85.84161,2012,6,6,7.21
20.24321,85.84161,2012,6,7,7.27
20.24321,85.84161,2012,6,8,7.16
20.24321,85.84161,2012,6,9,5.85
20.24321,85.84161,2012,6,10,6.7
20.24321,85.84161,2012,6,11,5.66
20.24321,85.84161,2012,6,12,7.08
20.24321,85.84161,2012,6,13,6.41
20.24321,85.84161,2012,6,14,5.32
20.24321,85.84161,2012,6,15,5.82
20.24321,85.84161,2012,6,16,5.79
20.24321,85.84161,2012,6,17,2.17
20.24321,85.84161,2012,6,18,4.11
20.24321,85.84161,2012,6,19,1.58
20.24321,85.84161,2012,6,20,2.52
20.24321,85.84161,2012,6,21,2.5
20.24321,85.84161,2012,6,22,2.44
20.24321,85.84161,2012,6,23,3.33
20.24321,85.84161,2012,6,24,1.74
20.24321,85.84161,2012,6,25,5.4
20.24321,85.84161,2012,6,26,5.14
20.24321,85.84161,2012,6,27,5.17
20.24321,85.84161,2012,6,28,7.25
20.24321,85.84161,2012,6,29,2.63
20.24321,85.84161,2012,6,30,4.88
20.24321,85.84161,2012,7,1,6.49
20.24321,85.84161,2012,7,2,2.94
20.24321,85.84161,2012,7,3,3.31
20.24321,85.84161,2012,7,4,4.85
20.24321,85.84161,2012,7,5,5.82
20.24321,85.84161,2012,7,6,2.9
20.24321,85.84161,2012,7,7,2.89
20.24321,85.84161,2012,7,8,3.06
20.24321,85.84161,2012,7,9,2.73
20.24321,85.84161,2012,7,10,2.72
20.24321,85.84161,2012,7,11,4.9
20.24321,85.84161,2012,7,12,5.42
20.24321,85.84161,2012,7,13,6.06
20.24321,85.84161,2012,7,14,6.21
20.24321,85.84161,2012,7,15,3.97
20.24321,85.84161,2012,7,16,4.65
20.24321,85.84161,2012,7,17,4.68
20.24321,85.84161,2012,7,18,4.05
20.24321,85.84161,2012,7,19,1.37
20.24321,85.84161,2012,7,20,3.33
20.24321,85.84161,2012,7,21,3.26
20.24321,85.84161,2012,7,22,5.08
20.24321,85.84161,2012,7,23,4.55
20.24321,85.84161,2012,7,24,4.36
20.24321,85.84161,2012,7,25,1.68
20.24321,85.84161,2012,7,26,2.35
20.24321,85.84161,2012,7,27,4.18
20.24321,85.84161,2012,7,28,2.37
20.24321,85.84161,2012,7,29,2.67
20.24321,85.84161,2012,7,30,1.13
20.24321,85.84161,2012,7,31,2.86
20.24321,85.84161,2012,8,1,3.08
20.24321,85.84161,2012,8,2,3.44
20.24321,85.84161,2012,8,3,2.54
20.24321,85.84161,2012,8,4,2.57
20.24321,85.84161,2012,8,5,3.19
20.24321,85.84161,2012,8,6,5.15
20.24321,85.84161,2012,8,7,5.61
20.24321,85.84161,2012,8,8,5.28
20.24321,85.84161,2012,8,9,5.24
20.24321,85.84161,2012,8,10,1.97
20.24321,85.84161,2012,8,11,3.4
20.24321,85.84161,2012,8,12,4.61
20.24321,85.84161,2012,8,13,4.86
20.24321,85.84161,2012,8,14,5.14
20.24321,85.84161,2012,8,15,4.93
20.24321,85.84161,2012,8,16,5.32
20.24321,85.84161,2012,8,17,2.45
20.24321,85.84161,2012,8,18,2.14
20.24321,85.84161,2012,8,19,5.85
20.24321,85.84161,2012,8,20,3.78
20.24321,85.84161,2012,8,21,3.86
20.24321,85.84161,2012,8,22,4.98
20.24321,85.84161,2012,8,23,6.26
20.24321,85.84161,2012,8,24,4.56
20.24321,85.84161,2012,8,25,3.95
20.24321,85.84161,2012,8,26,3.29
20.24321,85.84161,2012,8,27,5.92
20.24321,85.84161,2012,8,28,5.31
20.24321,85.84161,2012,8,29,5.9
20.24321,85.84161,2012,8,30,4.05
20.24321,85.84161,2012,8,31,5.85
20.24321,85.84161,2012,9,1,4.7
20.24321,85.84161,2012,9,2,2.97
20.24321,85.84161,2012,9,3,4.45
20.24321,85.84161,2012,9,4,2.74
20.24321,85.84161,2012,9,5,2.33
20.24321,85.84161,2012,9,6,2.38
20.24321,85.84161,2012,9,7,3.57
20.24321,85.84161,2012,9,8,5.4
20.24321,85.84161,2012,9,9,2.26
20.24321,85.84161,2012,9,10,4.19
20.24321,85.84161,2012,9,11,4.04
20.24321,85.84161,2012,9,12,2.58
20.24321,85.84161,2012,9,13,4.43
20.24321,85.84161,2012,9,14,4.16
20.24321,85.84161,2012,9,15,4.28
20.24321,85.84161,2012,9,16,3.59
20.24321,85.84161,2012,9,17,3.63
20.24321,85.84161,2012,9,18,5.03
20.24321,85.84161,2012,9,19,5.47
20.24321,85.84161,2012,9,20,5.42
20.24321,85.84161,2012,9,21,4.69
20.24321,85.84161,2012,9,22,5.11
20.24321,85.84161,2012,9,23,4.2
20.24321,85.84161,2012,9,24,5.64
20.24321,85.84161,2012,9,25,6.2
20.24321,85.84161,2012,9,26,6.23
20.24321,85.84161,2012,9,27,6.06
20.24321,85.84161,2012,9,28,5.23
20.24321,85.84161,2012,9,29,4.54
20.24321,85.84161,2012,9,30,5.53
20.24321,85.84161,2012,10,1,4.48
20.24321,85.84161,2012,10,2,4.9
20.24321,85.84161,2012,10,3,5.13
20.24321,85.84161,2012,10,4,3.79
20.24321,85.84161,2012,10,5,3.79
20.24321,85.84161,2012,10,6,5.7
20.24321,85.84161,2012,10,7,4.18
20.24321,85.84161,2012,10,8,4.16
20.24321,85.84161,2012,10,9,2.52
